"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 26 08:12:16 GMT 2022","Mon Sep 26 08:12:22 GMT 2022","5920","chromium","redmine.spec.js","redmine page","","","sign in to redmine from home page",""
"passed","Mon Sep 26 08:12:20 GMT 2022","Mon Sep 26 08:12:24 GMT 2022","3843","chromium","redmine.spec.js","redmine page","","","download files in redmine",""
"passed","Mon Sep 26 08:12:22 GMT 2022","Mon Sep 26 08:12:30 GMT 2022","7769","chromium","redmine.spec.js","redmine page","","","brief description of all issues",""
"passed","Mon Sep 26 08:12:16 GMT 2022","Mon Sep 26 08:12:20 GMT 2022","4181","chromium","redmine.spec.js","redmine page","","","search in redmine from home page",""
"passed","Mon Sep 26 08:12:16 GMT 2022","Mon Sep 26 08:12:24 GMT 2022","7558","chromium","redmine.spec.js","redmine page","","","sign up to redmine",""
