"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 20 12:41:23 GMT 2022","Tue Sep 20 12:41:29 GMT 2022","5842","chromium","redmine.spec.js","redmine page","","","search in redmine from home page",""
"passed","Tue Sep 20 12:41:23 GMT 2022","Tue Sep 20 12:41:31 GMT 2022","8031","chromium","redmine.spec.js","redmine page","","","sign in to redmine from home page",""
"passed","Tue Sep 20 12:41:23 GMT 2022","Tue Sep 20 12:41:32 GMT 2022","9075","chromium","redmine.spec.js","redmine page","","","sign up to redmine",""
"passed","Tue Sep 20 12:41:29 GMT 2022","Tue Sep 20 12:41:35 GMT 2022","5573","chromium","redmine.spec.js","redmine page","","","download files in redmine",""
"passed","Tue Sep 20 12:41:31 GMT 2022","Tue Sep 20 12:41:41 GMT 2022","9437","chromium","redmine.spec.js","redmine page","","","brief description of all issues",""
